Batsman_name,avgScore,avgStrikeRate,CLUSTER
DA Miller,34.83,137.39,3
Kuldeep Yadav,22.0,122.22,0
RS Bopara,27.48,119.59,0
Harmeet Singh,4.4,110.0,8
RS Gavaskar,16.14,99.12,8
Samuel Badree,12.72,86.95,2
MA Khote,29.4,137.38,3
SB Bangar,15.24,124.5,4
VH Zol,27.09,122.63,0
R Dravid,27.51,113.87,0
AC Blizzard,25.28,133.26,7
CJ Anderson,22.85,133.29,7
C Madan,23.92,110.28,8
DB Das,27.88,129.31,7
Timil Kaushik Patel,5.5,78.57,2
S Aravind,14.5,116.0,8
VS Malik,12.6,113.17,8
Harmeet Singh Baddhan,0.0,0.0,1
AJ Finch,34.58,133.97,7
A Mukund,29.0,111.53,0
DJ Hooda,14.58,131.9,4
MP Stoinis,20.2,115.09,0
R Bhatia,22.21,118.51,0
Mohammad Hafeez,24.12,124.55,0
J Arunkumar,11.28,101.28,8
Joginder Sharma,15.18,127.72,4
JDP Oram,16.58,126.1,4
R Ashwin,13.94,109.21,8
SC Ganguly,25.01,107.0,8
B Kumar,9.39,101.88,8
MJ McClenaghan,9.14,136.17,4
C Munro,27.77,145.34,3
KB Arun Karthik,18.27,122.56,4
Adam John Hollioake,23.53,137.83,3
AM Rahane,30.68,118.43,0
BB Samantray,19.48,113.9,0
AG Paunikar,20.04,111.96,8
Deepak Lokandersingh Chahar,2.8,87.5,2
DJ Muthuswami,3.0,60.0,5
Mohammad Mustafizur Rahman,2.25,69.23,5
KK Cooper,11.53,135.49,4
Padmaja Vasudevan Manikantan,25.0,127.55,7
TL Suman,24.53,125.69,7
WPUJC Vaas,18.16,110.52,8
Lokesh Sharma,16.0,160.0,9
M Ntini,5.0,69.76,5
MK Pandey,25.87,117.52,0
CA Lynn,32.0,140.85,3
MJ Lumb,24.5,138.37,3
PP Ojha,4.23,68.57,5
SE Bond,4.0,103.22,8
AA Chavan,17.11,128.33,4
C Nanda,6.66,100.0,2
AN Ahmed,10.93,124.24,4
S Randiv,16.85,138.11,4
JP Faulkner,22.08,127.55,7
J Theron,9.5,107.54,8
DP Vijaykumar,6.0,120.0,4
PD Collingwood,19.53,119.8,0
TG Southee,10.25,147.98,9
DA Warner,34.77,143.58,3
T Thushara,11.09,112.01,8
NJ Maddinson,23.19,129.28,7
N Saini,19.27,104.69,8
Y Nagar,20.0,109.58,8
Jaskaran Singh,9.0,110.2,8
MN van Wyk,30.74,122.26,7
P Sahu,19.14,113.55,8
VS Yeligati,6.0,120.0,4
A Mithun,6.5,126.38,4
HV Patel,7.69,129.19,4
JC Buttler,28.38,147.19,3
Chandrasekharan Ganapathy,4.11,94.87,2
K Upadhyay,4.75,79.16,2
S Nadeem,8.85,88.57,2
M Ashwin,1.5,50.0,5
AS Yadav,14.14,111.23,8
MN Samuels,31.87,118.0,0
SW Billings,19.92,122.08,0
MS Wade,21.54,121.46,0
S Narwal,21.3,162.94,9
Anand Rajan,11.0,183.33,6
Ishwar Haribhai Chaudhary,0.5,33.33,1
Mohnish Bipinbhai Parmar,4.0,100.0,2
SM Pollock,21.07,141.89,3
CRD Fernando,4.7,92.15,2
R Tewatia,16.0,123.07,4
S Sriram,21.18,99.57,8
X Thalaivan Sargunam,10.0,58.82,5
Rahul Mahesh Yadav,4.75,63.33,5
Justin Lee Langer,28.19,136.42,3
Michael Gertges Neser,19.8,111.86,8
TD Paine,23.94,124.16,0
AB McDonald,31.69,124.41,7
KA Pollard,30.84,151.85,9
DJ Hussey,30.56,133.06,7
F du Plessis,27.56,123.97,7
NV Ojha,20.5,119.09,0
T Kohli,10.07,70.85,5
HH Pandya,25.05,122.64,0
M Manhas,22.04,104.75,8
BA Bhatt,11.66,122.8,4
DS Kulkarni,12.9,99.3,8
JA Morkel,25.8,137.93,3
BB McCullum,31.32,137.07,3
FH Edwards,5.8,83.65,2
A Chopra,18.55,91.25,2
AS Rajpoot,0.666666666666667,28.57,1
Rahil Akhilahmed Shaikh,0.0,0.0,1
ML Hayden,36.26,136.91,3
Bipul Sharma,22.02,141.58,3
KL Rahul,32.34,127.35,7
P Negi,19.85,129.46,4
PJ Cummins,6.58,90.8,2
RT Ponting,22.72,110.98,8
SB Jakati,9.93,105.67,8
DB Ravi Teja,22.83,109.84,8
DE Bollinger,6.8,95.77,2
M Vohra,26.45,126.78,7
PR Shah,15.36,110.55,8
RJ Harris,10.86,103.91,8
ST Jayasuriya,22.71,140.08,3
RV Uthappa,29.41,132.74,7
J Syed Mohammad,22.52,110.37,8
L Balaji,4.9,87.09,2
MM Patel,7.66,90.19,2
PJ Sangwan,7.23,91.26,2
RR Raje,3.85,96.42,2
CH Morris,25.16,152.37,9
R Rampaul,9.68,101.3,8
Rujul Haren Bhatt,18.57,106.84,8
AP Dole,17.0,154.54,9
PP Chawla,15.26,124.16,4
TM Head,30.26,148.49,3
U Kaul,13.0,130.0,4
A Symonds,32.43,147.14,3
Karanveer Singh,18.0,66.66,5
S Rana,22.55,111.41,8
SS Shaikh,25.31,121.25,0
AC Thomas,12.05,106.77,8
PA Reddy,22.8,118.44,0
Shakib Al Hasan,20.84,122.87,0
AP Tare,26.62,127.29,7
Sarul Kanwar,23.52,128.2,7
AD Mathews,26.17,121.76,0
J Suchith,13.14,115.0,8
S Tyagi,5.0,71.42,5
SB Joshi,19.5,90.69,2
J Yadav,19.6,115.97,0
P Awana,4.4,51.16,5
Sunny Singh,23.03,119.32,0
VVS Laxman,22.31,114.71,0
JP Duminy,38.05,122.28,7
SR Tendulkar,32.9,121.13,7
K Goel,19.97,91.88,2
PM Sarvesh Kumar,1.0,50.0,5
MR Marsh,29.21,120.26,0
Shoaib Ahmed,0.5,16.66,1
Adam Fraser Milne,23.2,124.73,0
AD Nath,16.22,109.5,8
RS Sodhi,5.0,81.81,2
MG Johnson,11.2,103.7,8
M Kaif,22.07,105.97,8
