Bowler_name,Balls,Wickets,Economy,CLUSTER
AJ Finch,203,6,9.39,3
Aavishkar Madhav Salvi,389,18,8.12,9
A Mithun,834,41,8.26,1
A Mukund,105,11,5.77,3
AA Jhunjhunwala,121,3,8.52,3
AM Nayar,553,22,8.35,1
AS Raut,152,9,8.48,3
Abrar Anjum Kazi,66,2,8.27,3
AN Ahmed,1051,48,7.78,6
AC Voges,542,26,7.94,1
AC Gilchrist,1,1,0,3
Adam Fraser Milne,1200,64,7.71,6
Adam John Hollioake,385,40,8.02,9
A Zampa,1083,64,7,6
AP Dole,66,5,10.18,3
AD Mascarenhas,2647,152,7.1,7
AC Blizzard,6,0,10,3
AM Rahane,6,1,5,3
AB Agarkar,1172,47,8.23,6
A Chandila,472,24,6.31,9
AD Nath,126,8,8,3
AR Patel,1522,69,6.9,0
AC Thomas,4558,263,7.55,8
AG Murtaza,654,32,6.98,1
A Mishra,3569,199,7.03,4
A Singh,628,34,7.69,1
A Uniyal,60,5,8.8,3
A Ashish Reddy,826,53,7.83,1
Anand Rajan,689,47,6.82,1
AD Russell,3779,201,8.13,4
Andre Nel,1240,37,6.74,6
AB McDonald,1470,82,7.7,0
A Flintoff,657,39,7.55,1
A Symonds,1237,52,8.03,6
AD Mathews,1933,78,7.27,2
A Kumble,1245,57,6.69,6
AA Chavan,476,19,7.97,9
Ankit Sharma,799,33,7.32,1
AS Rajpoot,439,25,7.28,9
AUK Pathan,39,0,9.69,3
A Nehra,2586,146,7.61,7
AA Noffke,634,38,7.46,1
AB Dinda,2305,117,7.61,2
AL Menaria,445,17,6.51,9
Azhar Mahmood,4825,258,7.63,8
B Akhil,535,24,7.15,1
BAW Mendis,2617,159,6.89,7
BMAJ Mendis,1092,61,7.18,6
BB Sran,519,28,7.75,1
BJ Rohrer,6,0,12,3
B Laughlin,1846,109,7.77,2
BR Dunk,12,0,10.5,3
BCJ Cutting,1047,47,8.41,6
Benjamin William Hilfenhaus,1666,96,7.5,0
BE Hendricks,876,61,8.23,1
B Chipli,24,1,11,3
BA Bhatt,684,41,7.66,1
B Kumar,2229,108,7.06,2
BB Samantray,539,22,6.35,1
Bipul Sharma,1096,57,6.54,6
B Sumanth,24,0,8.75,3
BJ Hodge,1110,65,7.8,6
Brett Geeves,302,19,9.15,9
B Lee,2706,109,7.22,7
CL White,484,26,8.77,9
CR Brathwaite,1093,48,7.5,6
CK Kapugedera,112,7,8.67,3
Chandrasekharan Ganapathy,496,33,6.42,9
CK Langeveldt,2332,138,7.62,2
C Nanda,366,18,6.91,9
CA Lynn,78,3,7.15,3
CH Gayle,1864,77,7.54,2
CH Morris,2614,150,7.6,7
CJ Jordan,1219,61,8.64,6
CJ McKay,2061,117,7.84,2
CA Ingram,272,15,7.54,9
C Munro,286,12,9.69,9
CRD Fernando,1187,74,7.8,6
CJ Anderson,564,24,8.56,1
DW Steyn,3975,201,6.67,4
DJ Harris,400,21,7.75,9
DL Vettori,3236,131,6.34,4
DT Christian,2816,130,8.28,7
DJG Sammy,3054,146,7.74,7
DS Lehmann,228,11,6.73,9
DA Miller,18,0,10.33,3
DA Warner,6,0,13,3
DJ Jacobs,6,0,14,3
DJ Hussey,1438,68,7.47,0
D Wiese,1821,109,8.25,2
DJ Hooda,277,7,7.64,9
Deepak Lokandersingh Chahar,234,6,8.1,9
DNT Zoysa,324,21,6.96,9
DPMD Jayawardene,69,3,7.13,3
DB Ravi Teja,108,4,8.33,3
DS Kulkarni,1936,104,7.7,2
D du Preez,1574,78,7.32,0
D Salunkhe,48,1,9.75,3
DP Nannes,4624,257,7.42,8
D Kalyankrishna,240,11,8.82,9
DJ Thornely,533,28,7.71,1
DJ Muthuswami,425,22,7.51,9
DAJ Bracewell,797,52,8.79,1
DE Bollinger,2596,134,7.73,7
DJ Bravo,6239,344,8.08,5
DR Smith,1992,99,7.85,2
FY Fazal,144,10,7.37,3
F Behardien,114,5,9.26,3
FH Edwards,1778,84,7.57,2
F du Plessis,790,50,6.96,1
GH Vihari,240,16,6.85,9
Gagandeep Singh Toor,306,12,7.25,9
GB Hogg,2645,125,6.81,7
GJ Bailey,12,0,12,3
GD McGrath,432,20,6.83,9
GJ Maxwell,1425,53,7.91,0
GC Smith,96,4,9.25,3
GR Napier,2905,164,7.91,7
Gurinder Singh Sandhu,540,23,7.78,1
Gurkeerat Singh,120,6,7.4,3
Harbhajan Singh,4302,190,6.7,8
HH Pandya,1009,45,7.64,6
Harmeet Singh Baddhan,24,1,8.5,3
Harmeet Singh,594,27,7.8,1
Harpreet Singh,126,6,5.38,3
HV Patel,1211,55,7.65,6
HM Amla,2,0,15,3
S Randiv,1116,57,7.41,6
IK Pathan,3283,161,7.53,4
I Malhotra,96,4,8.37,3
IR Jaggi,73,2,6.82,3
I Sharma,2239,84,7.85,2
IC Pandey,900,43,7.22,6
Ishwar Haribhai Chaudhary,136,9,8.25,3
JDP Oram,1839,81,7.84,2
JH Kallis,2747,114,7.6,7
J Suchith,432,18,7.83,9
Jagrit Anand,19,0,10.73,3
Jalaj Sahay Saxena,611,32,7.01,1
J Syed Mohammad,750,35,7.59,1
JDS Neesham,991,57,8.62,6
JEC Franklin,2123,96,8.28,2
JP Faulkner,2792,158,7.86,7
JR Hopes,1702,67,7.94,0
Jaskaran Singh,275,12,8.09,9
JO Holder,1373,54,7.59,0
JJ Bumrah,1832,95,7.23,2
J Yadav,502,15,5.97,9
JD Unadkat,1386,78,7.51,0
JP Duminy,1514,67,7.54,0
JE Taylor,1546,87,7.76,0
JD Ryder,915,33,7.86,6
Joginder Sharma,1123,55,7.18,6
J Botha,3672,146,6.42,4
JA Morkel,4697,230,7.66,8
JJ van der Wath,2185,108,7.58,2
John Wayne Hastings,1718,96,7.57,0
J Theron,2586,135,7.21,7
JM Kemp,1016,56,7.51,6
Kamran Khan,208,12,8.65,3
KS Williamson,716,27,7.07,1
KW Richardson,1184,61,8.01,6
K Goel,193,10,7.02,3
Karanveer Singh,302,18,8.96,9
KV Sharma,1483,69,7.45,0
KK Nair,48,2,6.87,3
Anureet Singh,878,42,8.13,1
KM Jadhav,60,4,8.8,3
KAJ Roach,864,27,7.9,1
KP Pietersen,396,17,8.09,9
KK Cooper,2821,165,7.16,7
Abdur Razzak,1594,92,6.93,0
KA Pollard,3854,219,8.01,4
KB Arun Karthik,24,2,11,3
KC Cariappa,204,11,8.44,3
KP Appanna,414,21,7.68,9
KD Karthik,12,1,5,3
Krishmar Santokie,1988,144,6.86,2
K Upadhyay,421,20,7.76,9
KH Pandya,449,22,6.61,9
KMDN Kulasekara,2081,111,7.19,2
Kuldeep Yadav,520,37,7.2,1
KJ Abbott,1905,87,7.93,2
L Balaji,2161,126,7.76,2
LR Shukla,976,47,7.11,6
LA Carseldine,84,7,8.07,3
LMP Simmons,370,22,8.62,9
LPC Silva,24,1,9,3
Lovesh Ablash,456,36,6.56,9
LJ Wright,1799,79,8.54,2
LRPL Taylor,186,8,9.03,3
T Thushara,1066,67,7.42,6
MS Dhoni,12,0,12.5,3
M Ntini,1263,63,7.48,6
Mandeep Singh,195,13,5.93,3
MK Pandey,168,10,7.57,3
MK Tiwary,318,16,7.96,9
MS Gony,1433,69,7.65,0
M de Lange,968,53,8.76,6
MP Stoinis,264,19,7.88,9
MN Samuels,1501,66,7.03,0
MJ Guptill,12,0,9.5,3
Mashrafe Mortaza,2151,84,7.73,2
MA Agarwal,6,0,8,3
MEK Hussey,6,0,5,3
Michael Gertges Neser,576,32,8.64,1
Michael John Buchanan,12,1,12,3
MJ Clarke,273,9,8.08,9
MJ Lumb,36,3,10.83,3
MA Starc,1860,127,7.14,2
MG Johnson,1804,94,7.84,2
MJ McClenaghan,2169,134,7.98,2
MR Marsh,695,37,8.14,1
M Manhas,104,5,8.25,3
MF Maharoof,1656,88,7.35,0
Mohammad Ashraful,335,23,7.95,9
Mohammad Asif,832,50,7.62,1
Mohammad Hafeez,2939,135,6.23,7
Imran Tahir,2862,156,6.88,7
Mohammad Mustafizur Rahman,943,57,6.33,6
Younis Khan,104,6,7.84,3
Mohammed Shami,1053,60,7.84,6
MM Sharma,1584,87,8.03,0
Mohnish Bipinbhai Parmar,138,4,8.52,3
MC Henriques,2072,101,8.12,2
M Morkel,3526,174,7.42,4
MM Patel,2039,100,6.84,2
M Kartik,3069,110,6.74,7
M Vijay,60,0,6.8,3
M Ashwin,309,17,7.14,9
MA Khote,132,6,8.5,3
M Muralitharan,3705,179,6.38,4
NLTC Perera,2878,155,8.37,7
NJ Rimmington,1548,82,7.85,0
NL McCullum,3162,157,7.18,7
NM Coulter-Nile,1634,88,7.74,0
ND Doshi,1008,68,6.8,6
NK Patel,222,11,8.67,9
N Rana,36,1,10.16,3
OA Shah,57,5,8.21,3
Padmanabhan Prasanth,955,63,5.98,6
DP Vijaykumar,342,10,8.17,9
Palani Amarnath,318,19,9.2,9
Pankaj Singh,845,33,7.61,1
P Sahu,129,4,7.67,3
Parvez Rasool,810,27,6.88,1
P Awana,1359,77,7.6,0
PM Sarvesh Kumar,30,1,8.4,3
