Batsman_name,avgScore,avgStrikeRate,CLUSTER
David Andrew Miller,34.83,137.39,3
Kuldeep Yadav,22.0,122.22,0
Ravinder Singh Bopara,27.48,119.59,0
Harmeet Singh Bansal,4.4,110.0,8
Rohan Sunil Gavaskar,16.14,99.12,8
Samuel Badree,12.72,86.95,2
Musavir Asmat Khote,29.4,137.38,3
Sanjay Bapusaheb Bangar,15.24,124.5,4
Vijay Hari Zol,27.09,122.63,0
Rahul Sharad Dravid,27.51,113.87,0
Aiden Craig Blizzard,25.28,133.26,7
Corey James Anderson,22.85,133.29,7
Chandan Madan,23.92,110.28,8
Debabrata Baidya Das,27.88,129.31,7
Timil Kaushik Patel,5.5,78.57,2
Sreenath Aravind,14.5,116.0,8
Vikramjeet Malik,12.6,113.17,8
Harmeet Singh Baddhan,0.0,0.0,1
Aaron James Finch,34.58,133.97,7
Abhinav Mukund,29.0,111.53,0
Deepak Hooda,14.58,131.9,4
Marcus Peter Stoinis,20.2,115.09,0
Rajat Bhatia,22.21,118.51,0
Mohammad Hafeez,24.12,124.55,0
Jagadeesh Arunkumar,11.28,101.28,8
Joginder Sharma,15.18,127.72,4
Jacob David Philip Oram,16.58,126.1,4
Ravichandran Ashwin,13.94,109.21,8
Sourav Chandidas Ganguly,25.01,107.0,8
Bhuvneshwar Kumar Singh,9.39,101.88,8
Mitchell John McClenaghan,9.14,136.17,4
Colin Munro,27.77,145.34,3
Konda Bhaskar Arun Karthik,18.27,122.56,4
Adam John Hollioake,23.53,137.83,3
Ajinkya Madhukar Rahane,30.68,118.43,0
Biplab Bipin Samantray,19.48,113.9,0
Amit Gajanan Paunikar,20.04,111.96,8
Deepak Lokandersingh Chahar,2.8,87.5,2
Domnic Joseph Muthuswami,3.0,60.0,5
Mohammad Mustafizur Rahman,2.25,69.23,5
Kevon Keston Cooper,11.53,135.49,4
Padmaja Vasudevan Manikantan,25.0,127.55,7
Tirumalasetti Laxminarayana Suman,24.53,125.69,7
Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,18.16,110.52,8
Lokesh Sharma,16.0,160.0,9
Makhaya Ntini,5.0,69.76,5
Manish Krishnanand Pandey,25.87,117.52,0
Christopher Austin Lynn,32.0,140.85,3
Michael John Lumb,24.5,138.37,3
Pragyan Prayish Ojha,4.23,68.57,5
Shane Edward Bond,4.0,103.22,8
Ankeet Anil Chavan,17.11,128.33,4
Chetanya Nanda,6.66,100.0,2
Abu Nachim Ahmed,10.93,124.24,4
Hewa Kaluhalmullage Suraj Randiv Kaluhalamulla,16.85,138.11,4
James Peter Faulkner,22.08,127.55,7
Juan Theron,9.5,107.54,8
Paidikalva David Vijaykumar,6.0,120.0,4
Paul David Collingwood,19.53,119.8,0
Timothy Grant Southee,10.25,147.98,9
David Andrew Warner,34.77,143.58,3
