Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
A Ashish Reddy,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,A Mithun,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
A Ashish Reddy,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,AS Raut,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,AN Ahmed,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
A Ashish Reddy,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
A Ashish Reddy,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
A Ashish Reddy,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,AB Agarkar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
A Ashish Reddy,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
A Ashish Reddy,AC Thomas,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
A Ashish Reddy,AG Murtaza,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
A Ashish Reddy,A Mishra,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
A Ashish Reddy,A Singh,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
A Ashish Reddy,A Uniyal,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
A Ashish Reddy,Anand Rajan,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
A Ashish Reddy,AD Russell,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
A Ashish Reddy,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,AB McDonald,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,A Symonds,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
A Ashish Reddy,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,A Kumble,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
A Ashish Reddy,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,Ankit Sharma,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Ashish Reddy,A Nehra,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
A Ashish Reddy,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
