Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
A Chandila,AJ Finch,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,A Mithun,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,AA Jhunjhunwala,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,AM Nayar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
A Chandila,AS Raut,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
A Chandila,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,AN Ahmed,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
A Chandila,AC Voges,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
A Chandila,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,A Zampa,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
A Chandila,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
A Chandila,AD Mascarenhas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
A Chandila,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
A Chandila,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
A Chandila,AC Thomas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
A Chandila,AG Murtaza,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
A Chandila,A Mishra,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
A Chandila,A Singh,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
A Chandila,A Uniyal,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
A Chandila,A Ashish Reddy,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
A Chandila,Anand Rajan,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
A Chandila,AD Russell,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
A Chandila,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,AB McDonald,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
A Chandila,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,A Symonds,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
A Chandila,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,A Kumble,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
A Chandila,AA Chavan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
A Chandila,Ankit Sharma,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
A Chandila,AS Rajpoot,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
A Chandila,AUK Pathan,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,A Nehra,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
A Chandila,AA Noffke,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
A Chandila,AB Dinda,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
A Chandila,AL Menaria,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
A Chandila,Azhar Mahmood,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
A Chandila,B Akhil,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
A Chandila,BAW Mendis,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
A Chandila,BMAJ Mendis,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,BB Sran,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
A Chandila,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,BE Hendricks,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
A Chandila,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,BA Bhatt,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
A Chandila,B Kumar,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
A Chandila,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,BJ Hodge,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
A Chandila,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,B Lee,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
A Chandila,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,CR Brathwaite,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
A Chandila,CK Kapugedera,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,CK Langeveldt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
A Chandila,C Nanda,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,CH Gayle,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
A Chandila,CH Morris,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
A Chandila,CJ Jordan,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
A Chandila,CJ McKay,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
A Chandila,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,CRD Fernando,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
A Chandila,CJ Anderson,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
A Chandila,DW Steyn,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
A Chandila,DJ Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,DL Vettori,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
A Chandila,DT Christian,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
A Chandila,DJG Sammy,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0
A Chandila,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,DJ Hussey,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0
A Chandila,D Wiese,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
A Chandila,DJ Hooda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,Deepak Lokandersingh Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,DNT Zoysa,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
A Chandila,DPMD Jayawardene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,DB Ravi Teja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,DS Kulkarni,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
A Chandila,D du Preez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,D Salunkhe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,DP Nannes,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
A Chandila,D Kalyankrishna,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
A Chandila,DJ Thornely,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
A Chandila,DJ Muthuswami,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,DAJ Bracewell,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,DE Bollinger,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
A Chandila,DJ Bravo,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
A Chandila,DR Smith,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
A Chandila,FY Fazal,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
A Chandila,F Behardien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,FH Edwards,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,F du Plessis,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
A Chandila,GH Vihari,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
A Chandila,Gagandeep Singh Toor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,GB Hogg,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
A Chandila,GJ Bailey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,GD McGrath,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
A Chandila,GJ Maxwell,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,GC Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,GR Napier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,Gurinder Singh Sandhu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,Gurkeerat Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,Harbhajan Singh,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.2
A Chandila,HH Pandya,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
A Chandila,Harmeet Singh Baddhan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,Harmeet Singh,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
A Chandila,Harpreet Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,HV Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
A Chandila,HM Amla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,S Randiv,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
A Chandila,IK Pathan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
A Chandila,I Malhotra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,IR Jaggi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,I Sharma,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
A Chandila,IC Pandey,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
A Chandila,Ishwar Haribhai Chaudhary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,JDP Oram,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
A Chandila,JH Kallis,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
A Chandila,J Suchith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,Jagrit Anand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,Jalaj Sahay Saxena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,J Syed Mohammad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,JDS Neesham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Chandila,JEC Franklin,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
A Chandila,JP Faulkner,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
