Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
A Mishra,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,AN Ahmed,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
A Mishra,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,AB Agarkar,0.2,0.3,0.1,0.1,0.1,0.0,0.0,0.1,0.1
A Mishra,A Chandila,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
A Mishra,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,AR Patel,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
A Mishra,AC Thomas,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
A Mishra,AG Murtaza,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,A Singh,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0
A Mishra,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,AD Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,AB McDonald,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
A Mishra,A Flintoff,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
A Mishra,A Symonds,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0
A Mishra,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,A Kumble,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
A Mishra,AA Chavan,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
A Mishra,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,A Nehra,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
A Mishra,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,AB Dinda,0.23529411764705882,0.4117647058823529,0.058823529411764705,0.0,0.11764705882352941,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
A Mishra,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,Azhar Mahmood,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0
A Mishra,B Akhil,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,BB Sran,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
A Mishra,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
