Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
A Mukund,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AB Agarkar,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,A Chandila,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AR Patel,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AC Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,A Mishra,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,A Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AD Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AB McDonald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,A Symonds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,A Kumble,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,A Nehra,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AB Dinda,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,Azhar Mahmood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,B Akhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,BB Sran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,BA Bhatt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,B Kumar,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,BJ Hodge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,B Lee,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,CR Brathwaite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
