Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
A Nehra,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,A Mithun,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,AD Mascarenhas,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25
A Nehra,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,AB Agarkar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
A Nehra,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,AR Patel,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
A Nehra,AC Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,A Mishra,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,A Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,A Ashish Reddy,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
A Nehra,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,AD Russell,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4
A Nehra,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,AB McDonald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,A Symonds,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
A Nehra,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,A Kumble,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
A Nehra,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,AB Dinda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
A Nehra,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,Azhar Mahmood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,B Akhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,BB Sran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
