Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
AA Chavan,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,A Mithun,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
AA Chavan,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,AS Raut,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,AN Ahmed,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
AA Chavan,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AA Chavan,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
AA Chavan,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,AB Agarkar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
AA Chavan,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
AA Chavan,AC Thomas,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
AA Chavan,AG Murtaza,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
AA Chavan,A Mishra,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
AA Chavan,A Singh,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
AA Chavan,A Uniyal,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
AA Chavan,A Ashish Reddy,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
AA Chavan,Anand Rajan,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
AA Chavan,AD Russell,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
AA Chavan,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,AB McDonald,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
