Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
AA Noffke,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Noffke,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Noffke,A Mithun,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
AA Noffke,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Noffke,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Noffke,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Noffke,AS Raut,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
AA Noffke,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Noffke,AN Ahmed,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
AA Noffke,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Noffke,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AA Noffke,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Noffke,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Noffke,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
AA Noffke,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Noffke,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Noffke,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Noffke,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Noffke,AB Agarkar,0.5,0.16666666666666666,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.16666666666666666
AA Noffke,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Noffke,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Noffke,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
AA Noffke,AC Thomas,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
AA Noffke,AG Murtaza,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
AA Noffke,A Mishra,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
AA Noffke,A Singh,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
AA Noffke,A Uniyal,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
