Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
AB Agarkar,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,A Mithun,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
AB Agarkar,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,AS Raut,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,AN Ahmed,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
AB Agarkar,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AB Agarkar,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
AB Agarkar,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
AB Agarkar,AC Thomas,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
AB Agarkar,AG Murtaza,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
AB Agarkar,A Mishra,0.5384615384615384,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
AB Agarkar,A Singh,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
AB Agarkar,A Uniyal,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
AB Agarkar,A Ashish Reddy,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
AB Agarkar,Anand Rajan,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
AB Agarkar,AD Russell,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
AB Agarkar,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,AB McDonald,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,A Symonds,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
AB Agarkar,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,A Kumble,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
AB Agarkar,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,Ankit Sharma,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,A Nehra,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
AB Agarkar,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,AB Dinda,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
AB Agarkar,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,Azhar Mahmood,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
AB Agarkar,B Akhil,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,BAW Mendis,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,BB Sran,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
AB Agarkar,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,B Laughlin,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
AB Agarkar,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
