Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
AB Barath,AJ Finch,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,A Mithun,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,AM Nayar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
AB Barath,AS Raut,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
AB Barath,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,AN Ahmed,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
AB Barath,AC Voges,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
AB Barath,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,A Zampa,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
AB Barath,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
AB Barath,AD Mascarenhas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
AB Barath,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
AB Barath,A Chandila,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
AB Barath,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
AB Barath,AC Thomas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
AB Barath,AG Murtaza,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,A Mishra,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0
AB Barath,A Singh,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
AB Barath,A Uniyal,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
AB Barath,A Ashish Reddy,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
AB Barath,Anand Rajan,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
AB Barath,AD Russell,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
AB Barath,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,AB McDonald,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
AB Barath,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,A Symonds,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
AB Barath,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,A Kumble,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0
AB Barath,AA Chavan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
AB Barath,Ankit Sharma,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
AB Barath,AS Rajpoot,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
AB Barath,AUK Pathan,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,A Nehra,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
AB Barath,AA Noffke,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
AB Barath,AB Dinda,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.2
AB Barath,AL Menaria,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
AB Barath,Azhar Mahmood,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.2
AB Barath,B Akhil,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
AB Barath,BAW Mendis,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
AB Barath,BMAJ Mendis,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,BB Sran,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
AB Barath,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,BE Hendricks,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
AB Barath,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Barath,BA Bhatt,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
AB Barath,B Kumar,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
