Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
AB Dinda,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,A Mithun,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,AD Mascarenhas,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
AB Dinda,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,AB Agarkar,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
AB Dinda,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,AR Patel,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
AB Dinda,AC Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,A Mishra,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
AB Dinda,A Singh,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
AB Dinda,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,A Ashish Reddy,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
AB Dinda,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,AD Russell,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
AB Dinda,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,AB McDonald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,A Symonds,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
AB Dinda,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,A Kumble,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
AB Dinda,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,A Nehra,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
AB Dinda,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,Azhar Mahmood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,B Akhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,BB Sran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,BA Bhatt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,B Kumar,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,BJ Hodge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,B Lee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,CR Brathwaite,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,CK Langeveldt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,CH Gayle,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
AB Dinda,CH Morris,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
AB Dinda,CJ Jordan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,CJ McKay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
