Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
AD Mascarenhas,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD Mascarenhas,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD Mascarenhas,A Mithun,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
AD Mascarenhas,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD Mascarenhas,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD Mascarenhas,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD Mascarenhas,AS Raut,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
AD Mascarenhas,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD Mascarenhas,AN Ahmed,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
AD Mascarenhas,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD Mascarenhas,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AD Mascarenhas,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD Mascarenhas,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD Mascarenhas,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
AD Mascarenhas,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD Mascarenhas,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD Mascarenhas,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD Mascarenhas,AB Agarkar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
AD Mascarenhas,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD Mascarenhas,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD Mascarenhas,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
AD Mascarenhas,AC Thomas,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
AD Mascarenhas,AG Murtaza,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
AD Mascarenhas,A Mishra,0.1,0.4,0.1,0.0,0.1,0.0,0.1,0.1,0.1
AD Mascarenhas,A Singh,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
AD Mascarenhas,A Uniyal,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
AD Mascarenhas,A Ashish Reddy,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
AD Mascarenhas,Anand Rajan,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
AD Mascarenhas,AD Russell,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
AD Mascarenhas,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD Mascarenhas,AB McDonald,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD Mascarenhas,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD Mascarenhas,A Symonds,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
AD Mascarenhas,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
