Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
AJ Finch,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,AN Ahmed,0.4,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0
AJ Finch,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,AB Agarkar,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,A Chandila,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0
AJ Finch,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,AR Patel,0.2,0.6,0.0,0.0,0.1,0.0,0.0,0.0,0.1
AJ Finch,AC Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,AG Murtaza,0.6666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
AJ Finch,A Mishra,0.375,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,A Singh,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
AJ Finch,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,AD Russell,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,AB McDonald,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,A Symonds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
