Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
AP Dole,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,AB Agarkar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,AR Patel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,AC Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP Dole,A Mishra,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0
