Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
AS Rajpoot,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,AB Agarkar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,AR Patel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,AC Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,A Mishra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,A Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,AD Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,AB McDonald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,A Symonds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,A Kumble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS Rajpoot,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
