Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
AUK Pathan,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,AN Ahmed,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
AUK Pathan,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,A Zampa,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,AP Dole,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
AUK Pathan,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
AUK Pathan,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,AR Patel,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
AUK Pathan,AC Thomas,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
AUK Pathan,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,A Mishra,0.1,0.2,0.2,0.0,0.1,0.0,0.2,0.1,0.1
AUK Pathan,A Singh,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,A Ashish Reddy,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,Anand Rajan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
AUK Pathan,AD Russell,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
AUK Pathan,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,AB McDonald,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
AUK Pathan,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,A Symonds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,A Kumble,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2
AUK Pathan,AA Chavan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
AUK Pathan,Ankit Sharma,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25
AUK Pathan,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,A Nehra,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
AUK Pathan,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,AB Dinda,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
AUK Pathan,AL Menaria,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
AUK Pathan,Azhar Mahmood,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285
AUK Pathan,B Akhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,BAW Mendis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,BB Sran,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
AUK Pathan,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,B Laughlin,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
AUK Pathan,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,BE Hendricks,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
AUK Pathan,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,BA Bhatt,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
AUK Pathan,B Kumar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
AUK Pathan,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUK Pathan,Bipul Sharma,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0
