Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Anirudh Singh,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,AN Ahmed,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Anirudh Singh,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,AB Agarkar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
Anirudh Singh,A Chandila,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Anirudh Singh,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,AR Patel,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
Anirudh Singh,AC Thomas,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
Anirudh Singh,AG Murtaza,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,A Mishra,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
Anirudh Singh,A Singh,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Anirudh Singh,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,AD Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,AB McDonald,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Anirudh Singh,A Flintoff,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Anirudh Singh,A Symonds,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0
Anirudh Singh,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,A Kumble,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.125,0.125
Anirudh Singh,AA Chavan,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Anirudh Singh,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
