Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
B Akhil,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Akhil,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Akhil,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Akhil,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Akhil,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Akhil,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Akhil,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Akhil,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Akhil,AN Ahmed,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
B Akhil,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Akhil,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Akhil,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Akhil,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Akhil,A Zampa,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Akhil,AP Dole,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
B Akhil,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Akhil,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Akhil,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Akhil,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
B Akhil,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Akhil,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Akhil,AR Patel,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
B Akhil,AC Thomas,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
B Akhil,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Akhil,A Mishra,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091
B Akhil,A Singh,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
B Akhil,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Akhil,A Ashish Reddy,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
