Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
B Laughlin,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,AN Ahmed,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
B Laughlin,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,AB Agarkar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
B Laughlin,A Chandila,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
B Laughlin,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,AR Patel,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
B Laughlin,AC Thomas,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
B Laughlin,AG Murtaza,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,A Mishra,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
B Laughlin,A Singh,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
B Laughlin,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,AD Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,AB McDonald,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
B Laughlin,A Flintoff,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
B Laughlin,A Symonds,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0
B Laughlin,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,A Kumble,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
B Laughlin,AA Chavan,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
B Laughlin,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,A Nehra,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
B Laughlin,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,AB Dinda,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
B Laughlin,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,Azhar Mahmood,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
B Laughlin,B Akhil,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,BB Sran,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
B Laughlin,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,BCJ Cutting,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
B Laughlin,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,BA Bhatt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
B Laughlin,B Kumar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
B Laughlin,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
B Laughlin,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,BJ Hodge,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
B Laughlin,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,B Lee,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0
B Laughlin,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,CR Brathwaite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,CK Langeveldt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
B Laughlin,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,CH Gayle,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
B Laughlin,CH Morris,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,CJ Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,CJ McKay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,CRD Fernando,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2
B Laughlin,CJ Anderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,DW Steyn,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
B Laughlin,DJ Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,DL Vettori,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,DT Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,DJG Sammy,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
B Laughlin,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,DJ Hussey,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0
B Laughlin,D Wiese,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,DJ Hooda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,Deepak Lokandersingh Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,DNT Zoysa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,DPMD Jayawardene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,DB Ravi Teja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,DS Kulkarni,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
B Laughlin,D du Preez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,D Salunkhe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,DP Nannes,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
B Laughlin,D Kalyankrishna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,DJ Thornely,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
B Laughlin,DJ Muthuswami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,DAJ Bracewell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,DE Bollinger,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
B Laughlin,DJ Bravo,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
B Laughlin,DR Smith,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
B Laughlin,FY Fazal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,F Behardien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,FH Edwards,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
B Laughlin,F du Plessis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,GH Vihari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,Gagandeep Singh Toor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,GB Hogg,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
B Laughlin,GJ Bailey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,GD McGrath,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
B Laughlin,GJ Maxwell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,GC Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,GR Napier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,Gurinder Singh Sandhu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,Gurkeerat Singh,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,Harbhajan Singh,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
B Laughlin,HH Pandya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,Harmeet Singh Baddhan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,Harmeet Singh,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
B Laughlin,Harpreet Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,HV Patel,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
B Laughlin,HM Amla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,S Randiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,IK Pathan,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
B Laughlin,I Malhotra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,IR Jaggi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Laughlin,I Sharma,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666
B Laughlin,IC Pandey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
