Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
BAW Mendis,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAW Mendis,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAW Mendis,A Mithun,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAW Mendis,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAW Mendis,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAW Mendis,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAW Mendis,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAW Mendis,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAW Mendis,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAW Mendis,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAW Mendis,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAW Mendis,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAW Mendis,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAW Mendis,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAW Mendis,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAW Mendis,AD Mascarenhas,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
BAW Mendis,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAW Mendis,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
