Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
BB Sran,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB Sran,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB Sran,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB Sran,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB Sran,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB Sran,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB Sran,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB Sran,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB Sran,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB Sran,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB Sran,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB Sran,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB Sran,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB Sran,A Zampa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB Sran,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB Sran,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB Sran,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB Sran,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB Sran,AB Agarkar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
