Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
BCJ Cutting,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,AN Ahmed,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
BCJ Cutting,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,A Zampa,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,AP Dole,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BCJ Cutting,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
BCJ Cutting,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,AR Patel,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
BCJ Cutting,AC Thomas,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
BCJ Cutting,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,A Mishra,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091
BCJ Cutting,A Singh,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,A Ashish Reddy,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,Anand Rajan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BCJ Cutting,AD Russell,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BCJ Cutting,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,AB McDonald,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
BCJ Cutting,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,A Symonds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCJ Cutting,A Kumble,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2
BCJ Cutting,AA Chavan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BCJ Cutting,Ankit Sharma,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25
BCJ Cutting,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
