Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
BJ Haddin,AJ Finch,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
BJ Haddin,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Haddin,A Mithun,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
BJ Haddin,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Haddin,AA Jhunjhunwala,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
BJ Haddin,AM Nayar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,AS Raut,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
BJ Haddin,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Haddin,AN Ahmed,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,AC Voges,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
BJ Haddin,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Haddin,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Haddin,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Haddin,A Zampa,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,AP Dole,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,AD Mascarenhas,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
BJ Haddin,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Haddin,AM Rahane,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
BJ Haddin,AB Agarkar,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
BJ Haddin,A Chandila,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
BJ Haddin,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Haddin,AR Patel,0.2,0.3,0.1,0.0,0.1,0.0,0.1,0.1,0.1
BJ Haddin,AC Thomas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,AG Murtaza,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
BJ Haddin,A Mishra,0.29411764705882354,0.35294117647058826,0.058823529411764705,0.0,0.11764705882352941,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
BJ Haddin,A Singh,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,A Uniyal,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
BJ Haddin,A Ashish Reddy,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,Anand Rajan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,AD Russell,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
BJ Haddin,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Haddin,AB McDonald,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,A Flintoff,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
BJ Haddin,A Symonds,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Haddin,A Kumble,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
BJ Haddin,AA Chavan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,Ankit Sharma,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
BJ Haddin,AS Rajpoot,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,AUK Pathan,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
BJ Haddin,A Nehra,0.2857142857142857,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
BJ Haddin,AA Noffke,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
BJ Haddin,AB Dinda,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
BJ Haddin,AL Menaria,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,Azhar Mahmood,0.2,0.2,0.1,0.0,0.1,0.1,0.1,0.1,0.1
BJ Haddin,B Akhil,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,BAW Mendis,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
BJ Haddin,BMAJ Mendis,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
BJ Haddin,BB Sran,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.125,0.125
BJ Haddin,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Haddin,B Laughlin,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
BJ Haddin,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Haddin,BCJ Cutting,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
BJ Haddin,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Haddin,BE Hendricks,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
BJ Haddin,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Haddin,BA Bhatt,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
BJ Haddin,B Kumar,0.2857142857142857,0.21428571428571427,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
BJ Haddin,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Haddin,Bipul Sharma,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Haddin,BJ Hodge,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Haddin,B Lee,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
BJ Haddin,CL White,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
BJ Haddin,CR Brathwaite,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,CK Kapugedera,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Haddin,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Haddin,CK Langeveldt,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,C Nanda,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
BJ Haddin,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Haddin,CH Gayle,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
BJ Haddin,CH Morris,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
BJ Haddin,CJ Jordan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,CJ McKay,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
BJ Haddin,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Haddin,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Haddin,CRD Fernando,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,CJ Anderson,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,DW Steyn,0.3333333333333333,0.2,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667
BJ Haddin,DJ Harris,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
BJ Haddin,DL Vettori,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
BJ Haddin,DT Christian,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,DJG Sammy,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BJ Haddin,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
