Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
BMAJ Mendis,AJ Finch,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
BMAJ Mendis,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMAJ Mendis,A Mithun,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BMAJ Mendis,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMAJ Mendis,AA Jhunjhunwala,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
BMAJ Mendis,AM Nayar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BMAJ Mendis,AS Raut,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
BMAJ Mendis,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMAJ Mendis,AN Ahmed,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BMAJ Mendis,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
BMAJ Mendis,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMAJ Mendis,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMAJ Mendis,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMAJ Mendis,A Zampa,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BMAJ Mendis,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
BMAJ Mendis,AD Mascarenhas,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
BMAJ Mendis,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMAJ Mendis,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMAJ Mendis,AB Agarkar,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
BMAJ Mendis,A Chandila,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
BMAJ Mendis,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
