Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
BR Dunk,AJ Finch,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
BR Dunk,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR Dunk,A Mithun,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BR Dunk,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR Dunk,AA Jhunjhunwala,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
BR Dunk,AM Nayar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BR Dunk,AS Raut,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
BR Dunk,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR Dunk,AN Ahmed,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BR Dunk,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
BR Dunk,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR Dunk,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR Dunk,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR Dunk,A Zampa,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BR Dunk,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
BR Dunk,AD Mascarenhas,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
BR Dunk,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR Dunk,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR Dunk,AB Agarkar,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
BR Dunk,A Chandila,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
BR Dunk,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR Dunk,AR Patel,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
BR Dunk,AC Thomas,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
BR Dunk,AG Murtaza,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BR Dunk,A Mishra,0.2857142857142857,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
BR Dunk,A Singh,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
BR Dunk,A Uniyal,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
BR Dunk,A Ashish Reddy,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
BR Dunk,Anand Rajan,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
