Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Benjamin William Hilfenhaus,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin William Hilfenhaus,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin William Hilfenhaus,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin William Hilfenhaus,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin William Hilfenhaus,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin William Hilfenhaus,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin William Hilfenhaus,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin William Hilfenhaus,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin William Hilfenhaus,AN Ahmed,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
Benjamin William Hilfenhaus,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin William Hilfenhaus,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin William Hilfenhaus,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin William Hilfenhaus,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin William Hilfenhaus,A Zampa,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin William Hilfenhaus,AP Dole,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Benjamin William Hilfenhaus,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
