Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
CH Morris,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,AN Ahmed,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
CH Morris,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,A Zampa,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,AP Dole,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
CH Morris,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
CH Morris,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,AR Patel,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
CH Morris,AC Thomas,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
CH Morris,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,A Mishra,0.25,0.25,0.08333333333333333,0.0,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333
CH Morris,A Singh,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,A Ashish Reddy,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,Anand Rajan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
CH Morris,AD Russell,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
CH Morris,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,AB McDonald,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
CH Morris,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,A Symonds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,A Kumble,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2
CH Morris,AA Chavan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
CH Morris,Ankit Sharma,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25
CH Morris,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,A Nehra,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
CH Morris,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Morris,AB Dinda,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0
CH Morris,AL Menaria,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
