Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
CK Langeveldt,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CK Langeveldt,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CK Langeveldt,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CK Langeveldt,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CK Langeveldt,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CK Langeveldt,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CK Langeveldt,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CK Langeveldt,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CK Langeveldt,AN Ahmed,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CK Langeveldt,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CK Langeveldt,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CK Langeveldt,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CK Langeveldt,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CK Langeveldt,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CK Langeveldt,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CK Langeveldt,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CK Langeveldt,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CK Langeveldt,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CK Langeveldt,AB Agarkar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
CK Langeveldt,A Chandila,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
CK Langeveldt,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CK Langeveldt,AR Patel,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
CK Langeveldt,AC Thomas,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
CK Langeveldt,AG Murtaza,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CK Langeveldt,A Mishra,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
CK Langeveldt,A Singh,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
CK Langeveldt,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CK Langeveldt,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
