Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
CM Gautam,AJ Finch,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
CM Gautam,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM Gautam,A Mithun,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
CM Gautam,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM Gautam,AA Jhunjhunwala,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CM Gautam,AM Nayar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
CM Gautam,AS Raut,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
CM Gautam,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM Gautam,AN Ahmed,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
CM Gautam,AC Voges,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
CM Gautam,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM Gautam,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM Gautam,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM Gautam,A Zampa,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
CM Gautam,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
CM Gautam,AD Mascarenhas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
CM Gautam,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM Gautam,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
