Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
CR Brathwaite,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR Brathwaite,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR Brathwaite,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR Brathwaite,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR Brathwaite,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR Brathwaite,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR Brathwaite,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR Brathwaite,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR Brathwaite,AN Ahmed,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
CR Brathwaite,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR Brathwaite,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR Brathwaite,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR Brathwaite,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR Brathwaite,A Zampa,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR Brathwaite,AP Dole,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
CR Brathwaite,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR Brathwaite,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR Brathwaite,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR Brathwaite,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
CR Brathwaite,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR Brathwaite,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR Brathwaite,AR Patel,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
CR Brathwaite,AC Thomas,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
CR Brathwaite,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR Brathwaite,A Mishra,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091
CR Brathwaite,A Singh,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
CR Brathwaite,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
