Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
D Wiese,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,AN Ahmed,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
D Wiese,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,A Zampa,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,AP Dole,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
D Wiese,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
D Wiese,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,AR Patel,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
D Wiese,AC Thomas,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
D Wiese,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,A Mishra,0.25,0.25,0.08333333333333333,0.0,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333
D Wiese,A Singh,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,A Ashish Reddy,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,Anand Rajan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
D Wiese,AD Russell,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
D Wiese,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,AB McDonald,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
D Wiese,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,A Symonds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,A Kumble,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2
D Wiese,AA Chavan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
D Wiese,Ankit Sharma,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25
D Wiese,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,A Nehra,0.3684210526315789,0.3157894736842105,0.05263157894736842,0.0,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.10526315789473684
D Wiese,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,AB Dinda,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
D Wiese,AL Menaria,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
D Wiese,Azhar Mahmood,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
D Wiese,B Akhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,BAW Mendis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,BB Sran,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
D Wiese,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,B Laughlin,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
D Wiese,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,BE Hendricks,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
D Wiese,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,BA Bhatt,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
D Wiese,B Kumar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
D Wiese,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,Bipul Sharma,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0
D Wiese,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,BJ Hodge,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,B Lee,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
D Wiese,CL White,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
D Wiese,CR Brathwaite,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
D Wiese,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,CK Langeveldt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,CH Gayle,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
D Wiese,CH Morris,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
D Wiese,CJ Jordan,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
D Wiese,CJ McKay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,CRD Fernando,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,CJ Anderson,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
D Wiese,DW Steyn,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
D Wiese,DJ Harris,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,DL Vettori,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0
D Wiese,DT Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
D Wiese,DJG Sammy,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
D Wiese,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,DJ Hussey,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,DJ Hooda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,Deepak Lokandersingh Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,DNT Zoysa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,DPMD Jayawardene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,DB Ravi Teja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,DS Kulkarni,0.3,0.1,0.1,0.0,0.2,0.0,0.1,0.1,0.1
D Wiese,D du Preez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,D Salunkhe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,DP Nannes,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
D Wiese,D Kalyankrishna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,DJ Thornely,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,DJ Muthuswami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,DAJ Bracewell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,DE Bollinger,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
D Wiese,DJ Bravo,0.25,0.35,0.05,0.0,0.15,0.0,0.05,0.1,0.05
D Wiese,DR Smith,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
D Wiese,FY Fazal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,F Behardien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,FH Edwards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,F du Plessis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,GH Vihari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,Gagandeep Singh Toor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,GB Hogg,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
D Wiese,GJ Bailey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,GD McGrath,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.2
D Wiese,GJ Maxwell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,GC Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,GR Napier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,Gurinder Singh Sandhu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,Gurkeerat Singh,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
D Wiese,Harbhajan Singh,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
D Wiese,HH Pandya,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0
D Wiese,Harmeet Singh Baddhan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,Harmeet Singh,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
D Wiese,Harpreet Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,HV Patel,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
D Wiese,HM Amla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,S Randiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,IK Pathan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
D Wiese,I Malhotra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Wiese,IR Jaggi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
