Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
DE Bollinger,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE Bollinger,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE Bollinger,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE Bollinger,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE Bollinger,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE Bollinger,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE Bollinger,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE Bollinger,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE Bollinger,AN Ahmed,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE Bollinger,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE Bollinger,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE Bollinger,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE Bollinger,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE Bollinger,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE Bollinger,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE Bollinger,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DE Bollinger,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE Bollinger,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
