Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
DH Yagnik,AJ Finch,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
DH Yagnik,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DH Yagnik,A Mithun,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
DH Yagnik,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DH Yagnik,AA Jhunjhunwala,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DH Yagnik,AM Nayar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
DH Yagnik,AS Raut,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
DH Yagnik,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DH Yagnik,AN Ahmed,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
DH Yagnik,AC Voges,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
DH Yagnik,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DH Yagnik,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DH Yagnik,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DH Yagnik,A Zampa,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
DH Yagnik,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
DH Yagnik,AD Mascarenhas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
DH Yagnik,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DH Yagnik,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DH Yagnik,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
DH Yagnik,A Chandila,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
DH Yagnik,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DH Yagnik,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
DH Yagnik,AC Thomas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
DH Yagnik,AG Murtaza,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
DH Yagnik,A Mishra,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
DH Yagnik,A Singh,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
DH Yagnik,A Uniyal,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
DH Yagnik,A Ashish Reddy,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
DH Yagnik,Anand Rajan,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
DH Yagnik,AD Russell,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
DH Yagnik,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DH Yagnik,AB McDonald,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
DH Yagnik,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DH Yagnik,A Symonds,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
DH Yagnik,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DH Yagnik,A Kumble,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
