Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
DJG Sammy,AJ Finch,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
DJG Sammy,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DJG Sammy,A Mithun,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
DJG Sammy,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DJG Sammy,AA Jhunjhunwala,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
DJG Sammy,AM Nayar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
DJG Sammy,AS Raut,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
DJG Sammy,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DJG Sammy,AN Ahmed,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
DJG Sammy,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
DJG Sammy,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DJG Sammy,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DJG Sammy,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DJG Sammy,A Zampa,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
DJG Sammy,AP Dole,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
DJG Sammy,AD Mascarenhas,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
DJG Sammy,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DJG Sammy,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DJG Sammy,AB Agarkar,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
DJG Sammy,A Chandila,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
DJG Sammy,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DJG Sammy,AR Patel,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
DJG Sammy,AC Thomas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
DJG Sammy,AG Murtaza,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
DJG Sammy,A Mishra,0.2777777777777778,0.3333333333333333,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555
DJG Sammy,A Singh,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
DJG Sammy,A Uniyal,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
DJG Sammy,A Ashish Reddy,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
DJG Sammy,Anand Rajan,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
