Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
DNT Zoysa,AJ Finch,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
DNT Zoysa,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNT Zoysa,A Mithun,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
DNT Zoysa,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNT Zoysa,AA Jhunjhunwala,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
DNT Zoysa,AM Nayar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
DNT Zoysa,AS Raut,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
DNT Zoysa,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNT Zoysa,AN Ahmed,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
DNT Zoysa,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
DNT Zoysa,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNT Zoysa,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNT Zoysa,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNT Zoysa,A Zampa,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
DNT Zoysa,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
DNT Zoysa,AD Mascarenhas,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
DNT Zoysa,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNT Zoysa,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNT Zoysa,AB Agarkar,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
DNT Zoysa,A Chandila,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
DNT Zoysa,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNT Zoysa,AR Patel,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
DNT Zoysa,AC Thomas,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
DNT Zoysa,AG Murtaza,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
DNT Zoysa,A Mishra,0.26666666666666666,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667
DNT Zoysa,A Singh,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
DNT Zoysa,A Uniyal,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
DNT Zoysa,A Ashish Reddy,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
DNT Zoysa,Anand Rajan,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
DNT Zoysa,AD Russell,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
DNT Zoysa,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNT Zoysa,AB McDonald,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
DNT Zoysa,A Flintoff,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
DNT Zoysa,A Symonds,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
DNT Zoysa,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNT Zoysa,A Kumble,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
DNT Zoysa,AA Chavan,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
DNT Zoysa,Ankit Sharma,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.125,0.125
DNT Zoysa,AS Rajpoot,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
DNT Zoysa,AUK Pathan,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
DNT Zoysa,A Nehra,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182
DNT Zoysa,AA Noffke,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNT Zoysa,AB Dinda,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
DNT Zoysa,AL Menaria,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
DNT Zoysa,Azhar Mahmood,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
DNT Zoysa,B Akhil,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
DNT Zoysa,BAW Mendis,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
DNT Zoysa,BMAJ Mendis,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
DNT Zoysa,BB Sran,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
DNT Zoysa,BJ Rohrer,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
DNT Zoysa,B Laughlin,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
DNT Zoysa,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
