Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
DS Kulkarni,AJ Finch,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
DS Kulkarni,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS Kulkarni,A Mithun,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
DS Kulkarni,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS Kulkarni,AA Jhunjhunwala,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DS Kulkarni,AM Nayar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
DS Kulkarni,AS Raut,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
DS Kulkarni,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS Kulkarni,AN Ahmed,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
DS Kulkarni,AC Voges,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
DS Kulkarni,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS Kulkarni,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS Kulkarni,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS Kulkarni,A Zampa,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
DS Kulkarni,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
DS Kulkarni,AD Mascarenhas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
DS Kulkarni,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS Kulkarni,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS Kulkarni,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
DS Kulkarni,A Chandila,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
DS Kulkarni,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS Kulkarni,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
DS Kulkarni,AC Thomas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
DS Kulkarni,AG Murtaza,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
DS Kulkarni,A Mishra,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
DS Kulkarni,A Singh,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
DS Kulkarni,A Uniyal,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
DS Kulkarni,A Ashish Reddy,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
DS Kulkarni,Anand Rajan,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
DS Kulkarni,AD Russell,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
DS Kulkarni,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS Kulkarni,AB McDonald,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
DS Kulkarni,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
