Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Deepak Lokandersingh Chahar,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepak Lokandersingh Chahar,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepak Lokandersingh Chahar,A Mithun,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
Deepak Lokandersingh Chahar,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepak Lokandersingh Chahar,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepak Lokandersingh Chahar,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepak Lokandersingh Chahar,AS Raut,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Deepak Lokandersingh Chahar,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepak Lokandersingh Chahar,AN Ahmed,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
Deepak Lokandersingh Chahar,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepak Lokandersingh Chahar,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Deepak Lokandersingh Chahar,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepak Lokandersingh Chahar,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepak Lokandersingh Chahar,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
Deepak Lokandersingh Chahar,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepak Lokandersingh Chahar,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepak Lokandersingh Chahar,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepak Lokandersingh Chahar,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepak Lokandersingh Chahar,AB Agarkar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
Deepak Lokandersingh Chahar,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepak Lokandersingh Chahar,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepak Lokandersingh Chahar,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Deepak Lokandersingh Chahar,AC Thomas,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
Deepak Lokandersingh Chahar,AG Murtaza,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Deepak Lokandersingh Chahar,A Mishra,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Deepak Lokandersingh Chahar,A Singh,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
Deepak Lokandersingh Chahar,A Uniyal,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
Deepak Lokandersingh Chahar,A Ashish Reddy,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
Deepak Lokandersingh Chahar,Anand Rajan,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
Deepak Lokandersingh Chahar,AD Russell,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
Deepak Lokandersingh Chahar,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
