Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
FH Edwards,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH Edwards,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH Edwards,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH Edwards,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH Edwards,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH Edwards,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH Edwards,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH Edwards,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH Edwards,AN Ahmed,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH Edwards,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH Edwards,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH Edwards,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH Edwards,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH Edwards,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH Edwards,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH Edwards,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FH Edwards,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH Edwards,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH Edwards,AB Agarkar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
FH Edwards,A Chandila,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
FH Edwards,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH Edwards,AR Patel,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
FH Edwards,AC Thomas,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
FH Edwards,AG Murtaza,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH Edwards,A Mishra,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
