Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
G Gambhir,AJ Finch,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
G Gambhir,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G Gambhir,A Mithun,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.0,0.23076923076923078,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
G Gambhir,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G Gambhir,AA Jhunjhunwala,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
G Gambhir,AM Nayar,0.3,0.1,0.1,0.0,0.2,0.0,0.1,0.1,0.1
G Gambhir,AS Raut,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
G Gambhir,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G Gambhir,AN Ahmed,0.16666666666666666,0.4166666666666667,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
G Gambhir,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
G Gambhir,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G Gambhir,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G Gambhir,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G Gambhir,A Zampa,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
G Gambhir,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
G Gambhir,AD Mascarenhas,0.2857142857142857,0.35714285714285715,0.10714285714285714,0.03571428571428571,0.10714285714285714,0.0,0.0,0.10714285714285714,0.0
G Gambhir,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G Gambhir,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G Gambhir,AB Agarkar,0.3076923076923077,0.46153846153846156,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464
G Gambhir,A Chandila,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
G Gambhir,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G Gambhir,AR Patel,0.37037037037037035,0.4074074074074074,0.07407407407407407,0.0,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035
G Gambhir,AC Thomas,0.13333333333333333,0.4,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
G Gambhir,AG Murtaza,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
G Gambhir,A Mishra,0.23529411764705882,0.47058823529411764,0.029411764705882353,0.029411764705882353,0.11764705882352941,0.0,0.029411764705882353,0.058823529411764705,0.029411764705882353
G Gambhir,A Singh,0.3076923076923077,0.19230769230769232,0.11538461538461539,0.038461538461538464,0.23076923076923078,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464
G Gambhir,A Uniyal,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
G Gambhir,A Ashish Reddy,0.07142857142857142,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
G Gambhir,Anand Rajan,0.35294117647058826,0.17647058823529413,0.23529411764705882,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.11764705882352941
G Gambhir,AD Russell,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
G Gambhir,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G Gambhir,AB McDonald,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
