Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
GJ Maxwell,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,AN Ahmed,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
GJ Maxwell,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,A Zampa,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,AP Dole,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
GJ Maxwell,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
GJ Maxwell,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,AR Patel,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
GJ Maxwell,AC Thomas,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
GJ Maxwell,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,A Mishra,0.25,0.21875,0.125,0.0,0.03125,0.0,0.1875,0.09375,0.09375
GJ Maxwell,A Singh,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,A Ashish Reddy,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,Anand Rajan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
GJ Maxwell,AD Russell,0.3333333333333333,0.2222222222222222,0.05555555555555555,0.0,0.05555555555555555,0.0,0.1111111111111111,0.05555555555555555,0.16666666666666666
GJ Maxwell,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,AB McDonald,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
GJ Maxwell,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,A Symonds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ Maxwell,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
