Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
I Malhotra,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,AN Ahmed,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
I Malhotra,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,AB Agarkar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
I Malhotra,A Chandila,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
I Malhotra,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,AR Patel,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
I Malhotra,AC Thomas,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
I Malhotra,AG Murtaza,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,A Mishra,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
I Malhotra,A Singh,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
I Malhotra,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,AD Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,AB McDonald,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
I Malhotra,A Flintoff,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
I Malhotra,A Symonds,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0
I Malhotra,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Malhotra,A Kumble,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
I Malhotra,AA Chavan,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
