Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Imran Tahir,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,A Mithun,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
Imran Tahir,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,AS Raut,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,AN Ahmed,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
Imran Tahir,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Imran Tahir,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
Imran Tahir,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,AB Agarkar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
Imran Tahir,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,AR Patel,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Imran Tahir,AC Thomas,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
Imran Tahir,AG Murtaza,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Imran Tahir,A Mishra,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Imran Tahir,A Singh,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
Imran Tahir,A Uniyal,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
Imran Tahir,A Ashish Reddy,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
Imran Tahir,Anand Rajan,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
Imran Tahir,AD Russell,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
Imran Tahir,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,AB McDonald,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,A Symonds,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
Imran Tahir,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,A Kumble,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Imran Tahir,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,Ankit Sharma,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,A Nehra,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
Imran Tahir,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,AB Dinda,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Imran Tahir,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,Azhar Mahmood,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
Imran Tahir,B Akhil,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,BAW Mendis,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,BB Sran,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
Imran Tahir,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,B Laughlin,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
Imran Tahir,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,BCJ Cutting,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0
Imran Tahir,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,BE Hendricks,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
Imran Tahir,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,BA Bhatt,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
Imran Tahir,B Kumar,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Imran Tahir,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imran Tahir,BJ Hodge,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
