Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Iqbal Abdulla,AJ Finch,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,A Mithun,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,AA Jhunjhunwala,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,AM Nayar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
Iqbal Abdulla,AS Raut,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Iqbal Abdulla,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,AN Ahmed,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
Iqbal Abdulla,AC Voges,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
Iqbal Abdulla,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,A Zampa,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Iqbal Abdulla,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
Iqbal Abdulla,AD Mascarenhas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Iqbal Abdulla,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
Iqbal Abdulla,A Chandila,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Iqbal Abdulla,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Iqbal Abdulla,AC Thomas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Iqbal Abdulla,AG Murtaza,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
Iqbal Abdulla,A Mishra,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
Iqbal Abdulla,A Singh,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
Iqbal Abdulla,A Uniyal,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
Iqbal Abdulla,A Ashish Reddy,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
Iqbal Abdulla,Anand Rajan,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
Iqbal Abdulla,AD Russell,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
Iqbal Abdulla,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,AB McDonald,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
Iqbal Abdulla,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,A Symonds,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Iqbal Abdulla,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,A Kumble,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Iqbal Abdulla,AA Chavan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Iqbal Abdulla,Ankit Sharma,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
Iqbal Abdulla,AS Rajpoot,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Iqbal Abdulla,AUK Pathan,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,A Nehra,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
Iqbal Abdulla,AA Noffke,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
Iqbal Abdulla,AB Dinda,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Iqbal Abdulla,AL Menaria,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
Iqbal Abdulla,Azhar Mahmood,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Iqbal Abdulla,B Akhil,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
Iqbal Abdulla,BAW Mendis,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
Iqbal Abdulla,BMAJ Mendis,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,BB Sran,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
Iqbal Abdulla,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,BE Hendricks,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Iqbal Abdulla,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,BA Bhatt,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
Iqbal Abdulla,B Kumar,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
Iqbal Abdulla,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,BJ Hodge,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
Iqbal Abdulla,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,B Lee,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Iqbal Abdulla,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,CR Brathwaite,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
Iqbal Abdulla,CK Kapugedera,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,CK Langeveldt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Iqbal Abdulla,C Nanda,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,CH Gayle,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
Iqbal Abdulla,CH Morris,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
Iqbal Abdulla,CJ Jordan,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
Iqbal Abdulla,CJ McKay,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Iqbal Abdulla,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,CRD Fernando,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
Iqbal Abdulla,CJ Anderson,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
Iqbal Abdulla,DW Steyn,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
Iqbal Abdulla,DJ Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,DL Vettori,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Iqbal Abdulla,DT Christian,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
Iqbal Abdulla,DJG Sammy,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0
Iqbal Abdulla,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,DJ Hussey,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0
Iqbal Abdulla,D Wiese,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
Iqbal Abdulla,DJ Hooda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,Deepak Lokandersingh Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,DNT Zoysa,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
Iqbal Abdulla,DPMD Jayawardene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,DB Ravi Teja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,DS Kulkarni,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Iqbal Abdulla,D du Preez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,D Salunkhe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,DP Nannes,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Iqbal Abdulla,D Kalyankrishna,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Iqbal Abdulla,DJ Thornely,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Iqbal Abdulla,DJ Muthuswami,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,DAJ Bracewell,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,DE Bollinger,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
Iqbal Abdulla,DJ Bravo,0.3125,0.25,0.0625,0.0,0.1875,0.0,0.0625,0.0625,0.0625
Iqbal Abdulla,DR Smith,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Iqbal Abdulla,FY Fazal,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
Iqbal Abdulla,F Behardien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,FH Edwards,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,F du Plessis,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Iqbal Abdulla,GH Vihari,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
Iqbal Abdulla,Gagandeep Singh Toor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,GB Hogg,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
Iqbal Abdulla,GJ Bailey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,GD McGrath,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Iqbal Abdulla,GJ Maxwell,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,GC Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,GR Napier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,Gurinder Singh Sandhu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,Gurkeerat Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iqbal Abdulla,Harbhajan Singh,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Iqbal Abdulla,HH Pandya,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Iqbal Abdulla,Harmeet Singh Baddhan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
