Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Ishwar Haribhai Chaudhary,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,A Mithun,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
Ishwar Haribhai Chaudhary,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,AS Raut,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,AN Ahmed,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
Ishwar Haribhai Chaudhary,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ishwar Haribhai Chaudhary,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
Ishwar Haribhai Chaudhary,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,AB Agarkar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
Ishwar Haribhai Chaudhary,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Ishwar Haribhai Chaudhary,AC Thomas,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
Ishwar Haribhai Chaudhary,AG Murtaza,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Ishwar Haribhai Chaudhary,A Mishra,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
Ishwar Haribhai Chaudhary,A Singh,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
Ishwar Haribhai Chaudhary,A Uniyal,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,A Ashish Reddy,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
Ishwar Haribhai Chaudhary,Anand Rajan,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
Ishwar Haribhai Chaudhary,AD Russell,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
Ishwar Haribhai Chaudhary,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,AB McDonald,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,A Symonds,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
Ishwar Haribhai Chaudhary,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,A Kumble,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Ishwar Haribhai Chaudhary,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,Ankit Sharma,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,A Nehra,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
Ishwar Haribhai Chaudhary,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,AB Dinda,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Ishwar Haribhai Chaudhary,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,Azhar Mahmood,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
Ishwar Haribhai Chaudhary,B Akhil,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,BAW Mendis,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,BB Sran,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
Ishwar Haribhai Chaudhary,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,B Laughlin,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
Ishwar Haribhai Chaudhary,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,BCJ Cutting,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,BE Hendricks,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
Ishwar Haribhai Chaudhary,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,BA Bhatt,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
Ishwar Haribhai Chaudhary,B Kumar,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
Ishwar Haribhai Chaudhary,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,BJ Hodge,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
Ishwar Haribhai Chaudhary,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,B Lee,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
Ishwar Haribhai Chaudhary,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwar Haribhai Chaudhary,CR Brathwaite,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
