Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Jalaj Sahay Saxena,AJ Finch,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Jalaj Sahay Saxena,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalaj Sahay Saxena,A Mithun,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Jalaj Sahay Saxena,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalaj Sahay Saxena,AA Jhunjhunwala,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalaj Sahay Saxena,AM Nayar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
Jalaj Sahay Saxena,AS Raut,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Jalaj Sahay Saxena,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalaj Sahay Saxena,AN Ahmed,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
Jalaj Sahay Saxena,AC Voges,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
Jalaj Sahay Saxena,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalaj Sahay Saxena,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalaj Sahay Saxena,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalaj Sahay Saxena,A Zampa,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Jalaj Sahay Saxena,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
Jalaj Sahay Saxena,AD Mascarenhas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Jalaj Sahay Saxena,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
