Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Justin Lee Langer,AJ Finch,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Justin Lee Langer,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Lee Langer,A Mithun,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Justin Lee Langer,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Lee Langer,AA Jhunjhunwala,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Lee Langer,AM Nayar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
Justin Lee Langer,AS Raut,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Justin Lee Langer,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Lee Langer,AN Ahmed,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
Justin Lee Langer,AC Voges,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
Justin Lee Langer,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Lee Langer,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Lee Langer,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Lee Langer,A Zampa,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Justin Lee Langer,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
Justin Lee Langer,AD Mascarenhas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Justin Lee Langer,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Lee Langer,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Lee Langer,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
Justin Lee Langer,A Chandila,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Justin Lee Langer,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
