Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
KAJ Roach,AJ Finch,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
KAJ Roach,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAJ Roach,A Mithun,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
KAJ Roach,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAJ Roach,AA Jhunjhunwala,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KAJ Roach,AM Nayar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
KAJ Roach,AS Raut,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
KAJ Roach,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAJ Roach,AN Ahmed,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
KAJ Roach,AC Voges,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
KAJ Roach,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAJ Roach,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAJ Roach,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAJ Roach,A Zampa,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
KAJ Roach,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
KAJ Roach,AD Mascarenhas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
KAJ Roach,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAJ Roach,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
