Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
KP Pietersen,AJ Finch,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
KP Pietersen,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP Pietersen,A Mithun,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
KP Pietersen,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP Pietersen,AA Jhunjhunwala,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
KP Pietersen,AM Nayar,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
KP Pietersen,AS Raut,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
KP Pietersen,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP Pietersen,AN Ahmed,0.15384615384615385,0.38461538461538464,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385
KP Pietersen,AC Voges,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5,0.0,0.0,0.0,0.16666666666666666
KP Pietersen,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP Pietersen,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP Pietersen,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KP Pietersen,A Zampa,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
KP Pietersen,AP Dole,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
KP Pietersen,AD Mascarenhas,0.5294117647058824,0.11764705882352941,0.11764705882352941,0.0,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
KP Pietersen,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
