Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Karanveer Singh,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,A Mithun,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,AD Mascarenhas,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
Karanveer Singh,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,AB Agarkar,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Karanveer Singh,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,AR Patel,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Karanveer Singh,AC Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,A Mishra,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Karanveer Singh,A Singh,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Karanveer Singh,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,A Ashish Reddy,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
Karanveer Singh,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,AD Russell,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
Karanveer Singh,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,AB McDonald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,A Symonds,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Karanveer Singh,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,A Kumble,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Karanveer Singh,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,A Nehra,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
Karanveer Singh,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,AB Dinda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Karanveer Singh,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,Azhar Mahmood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,B Akhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,BB Sran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,BA Bhatt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,B Kumar,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,BJ Hodge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,B Lee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,CR Brathwaite,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,CK Langeveldt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karanveer Singh,CH Gayle,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Karanveer Singh,CH Morris,0.4,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0
