Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Kedar Hemant Devdhar,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,AN Ahmed,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kedar Hemant Devdhar,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,AB Agarkar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
Kedar Hemant Devdhar,A Chandila,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Kedar Hemant Devdhar,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,AR Patel,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
Kedar Hemant Devdhar,AC Thomas,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
Kedar Hemant Devdhar,AG Murtaza,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,A Mishra,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
Kedar Hemant Devdhar,A Singh,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Kedar Hemant Devdhar,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,AD Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,AB McDonald,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Kedar Hemant Devdhar,A Flintoff,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Kedar Hemant Devdhar,A Symonds,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0
Kedar Hemant Devdhar,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,A Kumble,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
Kedar Hemant Devdhar,AA Chavan,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Kedar Hemant Devdhar,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,A Nehra,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
Kedar Hemant Devdhar,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,AB Dinda,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Kedar Hemant Devdhar,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Azhar Mahmood,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,B Akhil,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,BB Sran,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Kedar Hemant Devdhar,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,BCJ Cutting,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Kedar Hemant Devdhar,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,BA Bhatt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Kedar Hemant Devdhar,B Kumar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
Kedar Hemant Devdhar,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kedar Hemant Devdhar,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,BJ Hodge,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Kedar Hemant Devdhar,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,B Lee,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0
Kedar Hemant Devdhar,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,CR Brathwaite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,CK Langeveldt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Kedar Hemant Devdhar,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,CH Gayle,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
Kedar Hemant Devdhar,CH Morris,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,CJ Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,CJ McKay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,CRD Fernando,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2
Kedar Hemant Devdhar,CJ Anderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,DW Steyn,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
Kedar Hemant Devdhar,DJ Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,DL Vettori,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,DT Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,DJG Sammy,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Kedar Hemant Devdhar,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,DJ Hussey,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0
Kedar Hemant Devdhar,D Wiese,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,DJ Hooda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Deepak Lokandersingh Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,DNT Zoysa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,DPMD Jayawardene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,DB Ravi Teja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,DS Kulkarni,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
Kedar Hemant Devdhar,D du Preez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,D Salunkhe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,DP Nannes,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
Kedar Hemant Devdhar,D Kalyankrishna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,DJ Thornely,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
Kedar Hemant Devdhar,DJ Muthuswami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,DAJ Bracewell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,DE Bollinger,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
Kedar Hemant Devdhar,DJ Bravo,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Kedar Hemant Devdhar,DR Smith,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
Kedar Hemant Devdhar,FY Fazal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,F Behardien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,FH Edwards,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
Kedar Hemant Devdhar,F du Plessis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,GH Vihari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Gagandeep Singh Toor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,GB Hogg,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Kedar Hemant Devdhar,GJ Bailey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,GD McGrath,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Kedar Hemant Devdhar,GJ Maxwell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,GC Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,GR Napier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Gurinder Singh Sandhu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Gurkeerat Singh,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Harbhajan Singh,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Kedar Hemant Devdhar,HH Pandya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Harmeet Singh Baddhan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Harmeet Singh,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Kedar Hemant Devdhar,Harpreet Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,HV Patel,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Kedar Hemant Devdhar,HM Amla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,S Randiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,IK Pathan,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
Kedar Hemant Devdhar,I Malhotra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,IR Jaggi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,I Sharma,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666
Kedar Hemant Devdhar,IC Pandey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Ishwar Haribhai Chaudhary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,JDP Oram,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Kedar Hemant Devdhar,JH Kallis,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
Kedar Hemant Devdhar,J Suchith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Jagrit Anand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Jalaj Sahay Saxena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,J Syed Mohammad,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
Kedar Hemant Devdhar,JDS Neesham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,JEC Franklin,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Kedar Hemant Devdhar,JP Faulkner,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
Kedar Hemant Devdhar,JR Hopes,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Kedar Hemant Devdhar,Jaskaran Singh,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,JO Holder,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,JJ Bumrah,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
Kedar Hemant Devdhar,J Yadav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,JD Unadkat,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25
Kedar Hemant Devdhar,JP Duminy,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
Kedar Hemant Devdhar,JE Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,JD Ryder,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Joginder Sharma,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,J Botha,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Kedar Hemant Devdhar,JA Morkel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Kedar Hemant Devdhar,JJ van der Wath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,John Wayne Hastings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,J Theron,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
Kedar Hemant Devdhar,JM Kemp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Kamran Khan,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Kedar Hemant Devdhar,KS Williamson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,KW Richardson,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,K Goel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Karanveer Singh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,KV Sharma,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,KK Nair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Anureet Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,KM Jadhav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,KAJ Roach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,KP Pietersen,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,KK Cooper,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
Kedar Hemant Devdhar,Abdur Razzak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,KA Pollard,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
Kedar Hemant Devdhar,KB Arun Karthik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,KC Cariappa,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,KP Appanna,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
Kedar Hemant Devdhar,KD Karthik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Krishmar Santokie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,K Upadhyay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,KH Pandya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kedar Hemant Devdhar,KMDN Kulasekara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Kuldeep Yadav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,KJ Abbott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,L Balaji,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Kedar Hemant Devdhar,LR Shukla,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
Kedar Hemant Devdhar,LA Carseldine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,LMP Simmons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,LPC Silva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,L Ablish,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
Kedar Hemant Devdhar,LJ Wright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,LRPL Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,T Thushara,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,MS Dhoni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,M Ntini,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,Mandeep Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,MK Pandey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedar Hemant Devdhar,MK Tiwary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
