Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
Kuldeep Yadav,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuldeep Yadav,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuldeep Yadav,A Mithun,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
Kuldeep Yadav,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuldeep Yadav,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuldeep Yadav,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuldeep Yadav,AS Raut,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Kuldeep Yadav,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuldeep Yadav,AN Ahmed,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
Kuldeep Yadav,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuldeep Yadav,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kuldeep Yadav,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuldeep Yadav,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuldeep Yadav,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
Kuldeep Yadav,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuldeep Yadav,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuldeep Yadav,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuldeep Yadav,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuldeep Yadav,AB Agarkar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
Kuldeep Yadav,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuldeep Yadav,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuldeep Yadav,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
Kuldeep Yadav,AC Thomas,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
Kuldeep Yadav,AG Murtaza,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
Kuldeep Yadav,A Mishra,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Kuldeep Yadav,A Singh,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
