Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
L Ablish,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,A Mithun,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,AD Mascarenhas,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
L Ablish,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,AB Agarkar,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
L Ablish,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,AR Patel,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
L Ablish,AC Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,A Mishra,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
L Ablish,A Singh,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
L Ablish,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,A Ashish Reddy,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
L Ablish,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,AD Russell,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
L Ablish,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,AB McDonald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,A Symonds,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
L Ablish,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,A Kumble,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
L Ablish,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,A Nehra,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
L Ablish,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,AB Dinda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
L Ablish,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,Azhar Mahmood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,B Akhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,BB Sran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,BA Bhatt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,B Kumar,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,BJ Hodge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,B Lee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,CR Brathwaite,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,CK Langeveldt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,CH Gayle,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
L Ablish,CH Morris,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
L Ablish,CJ Jordan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,CJ McKay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ablish,CRD Fernando,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
