Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
L Balaji,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,A Mithun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,AN Ahmed,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
L Balaji,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,AB Agarkar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
L Balaji,A Chandila,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
L Balaji,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,AR Patel,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
L Balaji,AC Thomas,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
L Balaji,AG Murtaza,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,A Mishra,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
L Balaji,A Singh,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
L Balaji,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,AD Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,AB McDonald,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
L Balaji,A Flintoff,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
L Balaji,A Symonds,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
L Balaji,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,A Kumble,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
L Balaji,AA Chavan,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
L Balaji,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,A Nehra,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
L Balaji,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,AB Dinda,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
L Balaji,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,Azhar Mahmood,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
L Balaji,B Akhil,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,BB Sran,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
L Balaji,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,BCJ Cutting,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
L Balaji,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,BA Bhatt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
L Balaji,B Kumar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
L Balaji,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
L Balaji,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,BJ Hodge,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
L Balaji,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,B Lee,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0
L Balaji,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,CR Brathwaite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,CK Langeveldt,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
L Balaji,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,CH Gayle,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
L Balaji,CH Morris,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,CJ Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,CJ McKay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,CRD Fernando,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2
