Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
L Ronchi,AJ Finch,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
L Ronchi,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ronchi,A Mithun,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
L Ronchi,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ronchi,AA Jhunjhunwala,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
L Ronchi,AM Nayar,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
L Ronchi,AS Raut,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
L Ronchi,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ronchi,AN Ahmed,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
L Ronchi,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
L Ronchi,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ronchi,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ronchi,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ronchi,A Zampa,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
L Ronchi,AP Dole,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
L Ronchi,AD Mascarenhas,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
L Ronchi,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ronchi,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ronchi,AB Agarkar,0.25,0.25,0.08333333333333333,0.0,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
L Ronchi,A Chandila,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
L Ronchi,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Ronchi,AR Patel,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667
