Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
LA Carseldine,AJ Finch,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
LA Carseldine,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA Carseldine,A Mithun,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
LA Carseldine,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA Carseldine,AA Jhunjhunwala,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
LA Carseldine,AM Nayar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
LA Carseldine,AS Raut,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
LA Carseldine,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA Carseldine,AN Ahmed,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
LA Carseldine,AC Voges,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
LA Carseldine,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA Carseldine,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA Carseldine,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA Carseldine,A Zampa,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
LA Carseldine,AP Dole,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
LA Carseldine,AD Mascarenhas,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
LA Carseldine,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA Carseldine,AM Rahane,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
LA Carseldine,AB Agarkar,0.16666666666666666,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
LA Carseldine,A Chandila,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
LA Carseldine,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA Carseldine,AR Patel,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
LA Carseldine,AC Thomas,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
LA Carseldine,AG Murtaza,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
LA Carseldine,A Mishra,0.2777777777777778,0.3888888888888889,0.05555555555555555,0.0,0.1111111111111111,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555
LA Carseldine,A Singh,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
LA Carseldine,A Uniyal,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
LA Carseldine,A Ashish Reddy,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
LA Carseldine,Anand Rajan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
LA Carseldine,AD Russell,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
LA Carseldine,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA Carseldine,AB McDonald,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
LA Carseldine,A Flintoff,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
LA Carseldine,A Symonds,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
LA Carseldine,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA Carseldine,A Kumble,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
LA Carseldine,AA Chavan,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
LA Carseldine,Ankit Sharma,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
LA Carseldine,AS Rajpoot,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
LA Carseldine,AUK Pathan,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
LA Carseldine,A Nehra,0.3125,0.25,0.0625,0.0625,0.125,0.0,0.0625,0.0625,0.0625
LA Carseldine,AA Noffke,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
LA Carseldine,AB Dinda,0.26666666666666666,0.2,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
LA Carseldine,AL Menaria,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
LA Carseldine,Azhar Mahmood,0.2,0.2,0.1,0.0,0.1,0.1,0.1,0.1,0.1
LA Carseldine,B Akhil,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
LA Carseldine,BAW Mendis,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
LA Carseldine,BMAJ Mendis,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
LA Carseldine,BB Sran,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.125,0.125
LA Carseldine,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA Carseldine,B Laughlin,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
LA Carseldine,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA Carseldine,BCJ Cutting,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
LA Carseldine,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA Carseldine,BE Hendricks,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
LA Carseldine,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA Carseldine,BA Bhatt,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
LA Carseldine,B Kumar,0.3333333333333333,0.2,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
LA Carseldine,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA Carseldine,Bipul Sharma,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
LA Carseldine,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA Carseldine,BJ Hodge,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
LA Carseldine,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
