Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
LMP Simmons,AJ Finch,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
LMP Simmons,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,A Mithun,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
LMP Simmons,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,AA Jhunjhunwala,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
LMP Simmons,AM Nayar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
LMP Simmons,AS Raut,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
LMP Simmons,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,AN Ahmed,0.125,0.125,0.125,0.0,0.25,0.0,0.125,0.125,0.125
LMP Simmons,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
LMP Simmons,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,A Zampa,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
LMP Simmons,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
LMP Simmons,AD Mascarenhas,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
LMP Simmons,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,AB Agarkar,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
LMP Simmons,A Chandila,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
LMP Simmons,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,AR Patel,0.2727272727272727,0.3181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456
LMP Simmons,AC Thomas,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
LMP Simmons,AG Murtaza,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
LMP Simmons,A Mishra,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
LMP Simmons,A Singh,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
LMP Simmons,A Uniyal,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
LMP Simmons,A Ashish Reddy,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
LMP Simmons,Anand Rajan,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
LMP Simmons,AD Russell,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
LMP Simmons,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,AB McDonald,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
LMP Simmons,A Flintoff,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
LMP Simmons,A Symonds,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
LMP Simmons,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,A Kumble,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
LMP Simmons,AA Chavan,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
LMP Simmons,Ankit Sharma,0.42857142857142855,0.23809523809523808,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.047619047619047616
LMP Simmons,AS Rajpoot,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
LMP Simmons,AUK Pathan,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
LMP Simmons,A Nehra,0.45454545454545453,0.18181818181818182,0.07272727272727272,0.01818181818181818,0.10909090909090909,0.01818181818181818,0.05454545454545454,0.01818181818181818,0.07272727272727272
LMP Simmons,AA Noffke,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,AB Dinda,0.26666666666666666,0.2,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
LMP Simmons,AL Menaria,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
LMP Simmons,Azhar Mahmood,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
LMP Simmons,B Akhil,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
LMP Simmons,BAW Mendis,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
LMP Simmons,BMAJ Mendis,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
LMP Simmons,BB Sran,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
LMP Simmons,BJ Rohrer,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
LMP Simmons,B Laughlin,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
LMP Simmons,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,BCJ Cutting,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
LMP Simmons,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,BE Hendricks,0.3,0.25,0.05,0.05,0.15,0.0,0.05,0.05,0.1
LMP Simmons,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,BA Bhatt,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
LMP Simmons,B Kumar,0.5714285714285714,0.21428571428571427,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571
LMP Simmons,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,Bipul Sharma,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
LMP Simmons,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,BJ Hodge,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
LMP Simmons,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,B Lee,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
LMP Simmons,CL White,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
LMP Simmons,CR Brathwaite,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
LMP Simmons,CK Kapugedera,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
LMP Simmons,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,CK Langeveldt,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
LMP Simmons,C Nanda,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
LMP Simmons,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,CH Gayle,0.125,0.25,0.125,0.125,0.125,0.0,0.125,0.0,0.125
LMP Simmons,CH Morris,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
LMP Simmons,CJ Jordan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
LMP Simmons,CJ McKay,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0
LMP Simmons,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,C Munro,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
LMP Simmons,CRD Fernando,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
LMP Simmons,CJ Anderson,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
LMP Simmons,DW Steyn,0.2727272727272727,0.30303030303030304,0.12121212121212122,0.030303030303030304,0.18181818181818182,0.0,0.030303030303030304,0.030303030303030304,0.030303030303030304
LMP Simmons,DJ Harris,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
LMP Simmons,DL Vettori,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
LMP Simmons,DT Christian,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
LMP Simmons,DJG Sammy,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
LMP Simmons,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,DJ Hussey,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285
LMP Simmons,D Wiese,0.3333333333333333,0.3333333333333333,0.047619047619047616,0.0,0.14285714285714285,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616
LMP Simmons,DJ Hooda,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
LMP Simmons,Deepak Lokandersingh Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMP Simmons,DNT Zoysa,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
