Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
M Ashwin,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ashwin,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ashwin,A Mithun,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ashwin,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ashwin,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ashwin,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ashwin,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ashwin,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ashwin,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ashwin,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ashwin,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ashwin,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ashwin,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ashwin,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ashwin,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ashwin,AD Mascarenhas,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
M Ashwin,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ashwin,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ashwin,AB Agarkar,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
M Ashwin,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ashwin,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ashwin,AR Patel,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
M Ashwin,AC Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ashwin,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ashwin,A Mishra,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
M Ashwin,A Singh,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
