Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
M Kartik,AJ Finch,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
M Kartik,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Kartik,A Mithun,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
M Kartik,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Kartik,AA Jhunjhunwala,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M Kartik,AM Nayar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
M Kartik,AS Raut,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
M Kartik,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Kartik,AN Ahmed,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
M Kartik,AC Voges,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
M Kartik,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Kartik,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Kartik,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Kartik,A Zampa,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
M Kartik,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
M Kartik,AD Mascarenhas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
M Kartik,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Kartik,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Kartik,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
M Kartik,A Chandila,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
M Kartik,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Kartik,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
M Kartik,AC Thomas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
M Kartik,AG Murtaza,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
M Kartik,A Mishra,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
M Kartik,A Singh,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
M Kartik,A Uniyal,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
