Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
M Morkel,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,A Mithun,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
M Morkel,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,AS Raut,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,AN Ahmed,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
M Morkel,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
M Morkel,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
M Morkel,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,AB Agarkar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
M Morkel,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
M Morkel,AC Thomas,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
M Morkel,AG Murtaza,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
M Morkel,A Mishra,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
M Morkel,A Singh,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
M Morkel,A Uniyal,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
M Morkel,A Ashish Reddy,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
M Morkel,Anand Rajan,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
M Morkel,AD Russell,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
M Morkel,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,AB McDonald,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,A Symonds,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
M Morkel,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,A Kumble,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
M Morkel,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,Ankit Sharma,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,A Nehra,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
M Morkel,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,AB Dinda,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
M Morkel,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,Azhar Mahmood,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
M Morkel,B Akhil,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,BAW Mendis,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,BB Sran,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
M Morkel,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,B Laughlin,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
M Morkel,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,BCJ Cutting,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
M Morkel,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,BE Hendricks,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
M Morkel,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,BA Bhatt,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
M Morkel,B Kumar,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
M Morkel,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,BJ Hodge,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
M Morkel,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,B Lee,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
M Morkel,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,CR Brathwaite,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
M Morkel,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,CK Langeveldt,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,C Nanda,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,CH Gayle,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
M Morkel,CH Morris,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
M Morkel,CJ Jordan,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
M Morkel,CJ McKay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,C Munro,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
M Morkel,CRD Fernando,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
M Morkel,CJ Anderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,DW Steyn,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
M Morkel,DJ Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,DL Vettori,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
M Morkel,DT Christian,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
M Morkel,DJG Sammy,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
M Morkel,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,DJ Hussey,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
M Morkel,D Wiese,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
M Morkel,DJ Hooda,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,Deepak Lokandersingh Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,DNT Zoysa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,DPMD Jayawardene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,DB Ravi Teja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,DS Kulkarni,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
M Morkel,D du Preez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,D Salunkhe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,DP Nannes,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
M Morkel,D Kalyankrishna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,DJ Thornely,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,DJ Muthuswami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,DAJ Bracewell,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
M Morkel,DE Bollinger,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
M Morkel,DJ Bravo,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
M Morkel,DR Smith,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
M Morkel,FY Fazal,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,F Behardien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,FH Edwards,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
M Morkel,F du Plessis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,GH Vihari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,Gagandeep Singh Toor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,GB Hogg,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
M Morkel,GJ Bailey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,GD McGrath,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
M Morkel,GJ Maxwell,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0
M Morkel,GC Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,GR Napier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,Gurinder Singh Sandhu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,Gurkeerat Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,Harbhajan Singh,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
M Morkel,HH Pandya,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
M Morkel,Harmeet Singh Baddhan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,Harmeet Singh,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0
M Morkel,Harpreet Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,HV Patel,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
M Morkel,HM Amla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,S Randiv,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,IK Pathan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
M Morkel,I Malhotra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,IR Jaggi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,I Sharma,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
M Morkel,IC Pandey,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
M Morkel,Ishwar Haribhai Chaudhary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,JDP Oram,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
M Morkel,JH Kallis,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
M Morkel,J Suchith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,Jagrit Anand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Morkel,Jalaj Sahay Saxena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
