Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
M Ntini,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,A Mithun,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,AS Raut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,AD Mascarenhas,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
M Ntini,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,AB Agarkar,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
M Ntini,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,AR Patel,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
M Ntini,AC Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,AG Murtaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,A Mishra,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
M Ntini,A Singh,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
M Ntini,A Uniyal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,A Ashish Reddy,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
M Ntini,Anand Rajan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,AD Russell,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
M Ntini,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,AB McDonald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,A Symonds,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
M Ntini,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,A Kumble,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
M Ntini,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,Ankit Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,A Nehra,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
M Ntini,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M Ntini,AB Dinda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
