Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
MD Mishra,AJ Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,A Mithun,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
MD Mishra,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,AA Jhunjhunwala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,AM Nayar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,AS Raut,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,AN Ahmed,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
MD Mishra,AC Voges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MD Mishra,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,A Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
MD Mishra,AP Dole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,AD Mascarenhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,AM Rahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,AB Agarkar,0.42857142857142855,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285
MD Mishra,A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
MD Mishra,AC Thomas,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
MD Mishra,AG Murtaza,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
MD Mishra,A Mishra,0.25,0.3333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
MD Mishra,A Singh,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
MD Mishra,A Uniyal,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
MD Mishra,A Ashish Reddy,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
MD Mishra,Anand Rajan,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
MD Mishra,AD Russell,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
MD Mishra,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,AB McDonald,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,A Symonds,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
MD Mishra,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,A Kumble,0.2857142857142857,0.35714285714285715,0.07142857142857142,0.0,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
MD Mishra,AA Chavan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,Ankit Sharma,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,A Nehra,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
MD Mishra,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,AB Dinda,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
MD Mishra,AL Menaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,Azhar Mahmood,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
MD Mishra,B Akhil,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,BAW Mendis,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,BB Sran,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
MD Mishra,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD Mishra,B Laughlin,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
MD Mishra,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
