Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
MJ Clarke,AJ Finch,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,A Mithun,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,AA Jhunjhunwala,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,AM Nayar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
MJ Clarke,AS Raut,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
MJ Clarke,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,AN Ahmed,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
MJ Clarke,AC Voges,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
MJ Clarke,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,A Zampa,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
MJ Clarke,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
MJ Clarke,AD Mascarenhas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
MJ Clarke,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
MJ Clarke,A Chandila,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
MJ Clarke,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
MJ Clarke,AC Thomas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
MJ Clarke,AG Murtaza,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
MJ Clarke,A Mishra,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
MJ Clarke,A Singh,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
MJ Clarke,A Uniyal,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
MJ Clarke,A Ashish Reddy,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
MJ Clarke,Anand Rajan,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
MJ Clarke,AD Russell,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
MJ Clarke,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,AB McDonald,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
MJ Clarke,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,A Symonds,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
MJ Clarke,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,A Kumble,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
MJ Clarke,AA Chavan,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
MJ Clarke,Ankit Sharma,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
MJ Clarke,AS Rajpoot,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
MJ Clarke,AUK Pathan,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,A Nehra,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
MJ Clarke,AA Noffke,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
MJ Clarke,AB Dinda,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
MJ Clarke,AL Menaria,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
MJ Clarke,Azhar Mahmood,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
MJ Clarke,B Akhil,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
MJ Clarke,BAW Mendis,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
MJ Clarke,BMAJ Mendis,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,BB Sran,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
MJ Clarke,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,BE Hendricks,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
MJ Clarke,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,BA Bhatt,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
MJ Clarke,B Kumar,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
MJ Clarke,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,Bipul Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Clarke,BJ Hodge,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
MJ Clarke,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
